route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
15182,2,201,NEW HAVEN/MADISON,,3,,0000FF,FFFFFF
15183,2,204,NEW HAVEN/EAST HAVEN,,3,,800080,FFFFFF
15184,2,206,EAST CHAPEL STREET,,3,,BF0000,FFFFFF
15185,2,212,GRAND AVENUE,,3,,000000,FFFFFF
15186,2,213,NEW HAVEN/NORTH BRANFORD,,3,,008000,FFFFFF
15187,2,215,NEW HAVEN/WALLINGFORD/MERIDEN,,3,,008000,FFFFFF
15188,2,223,LOMBARD STREET,,3,,FF00FF,FFFFFF
15189,2,224,STATE STREET,,3,,AA0000,FFFFFF
15190,2,228,WHITNEY AVENUE,,3,,3535FF,FFFFFF
15191,2,229,NEW HAVEN/WATERBURY,,3,,00FFFF,FFFFFF
15192,2,234,WINCHESTER AVENUE,,3,,008080,FFFFFF
15193,2,237,SHELTON AVENUE,,3,,000080,FFFFFF
15194,2,238,DIXWELL AVENUE,,3,,808000,FFFFFF
15195,2,241,GOFFE STREET,,3,,008040,FFFFFF
15196,2,243,WHALLEY AVENUE,,3,,800000,FFFFFF
15197,2,246,EDGEWOOD AVENUE,,3,,800000,FFFFFF
15198,2,254,WEST CHAPEL STREET,,3,,808040,FFFFFF
15199,2,255,NEW HAVEN/ANSONIA/SEYMOUR,,3,,008080,FFFFFF
15200,2,261,BOSTON POST ROAD,,3,,BF4059,FFFFFF
15201,2,262,ORANGE BUSINESS DISTRICT/MILFORD,,3,,800080,FFFFFF
15202,2,265,CONGRESS AVENUE,,3,,42CD32,FFFFFF
15203,2,268,WASHINGTON AVENUE,,3,,000000,FFFFFF
15204,2,271,KIMBERLY AVENUE,,3,,008080,FFFFFF
15205,2,272,UNION AVENUE,,3,,000000,FFFFFF
15206,2,274,SARGENT DRIVE,,3,,000000,FFFFFF
15207,2,278,NEW HAVEN CONNECTOR,,3,,006A6A,FFFFFF
15208,2,282,GRAND AVE BUS BRIDGE,,3,,BE1DFC,FFFFFF
15209,2,567*,MERIDEN/WALLINGFORD,,3,,800080,FFFFFF
15211,2,USS,UNION STATION SHUTTLE,,3,,000080,FFFFFF
15312,3,311,PORT CHESTER,,3,,400080,FFFFFF
15313,3,312,WEST MAIN ST,,3,,800080,FFFFFF
15314,3,313,WEST BROAD ST,,3,,FF8080,FFFFFF
15315,3,321,WEST AVE,,3,,5555FF,FFFFFF
15316,3,324,FAIRFIELD AVE,,3,,800080,FFFFFF
15317,3,326,PACIFIC ST,,3,,C53A87,FFFFFF
15318,3,327,SHIPPAN AVE,,3,,5CA36C,FFFFFF
15319,3,328,COVE RD,,3,,FF8040,FFFFFF
15320,3,331,HIGH RIDGE RD,,3,,0000FF,FFFFFF
15321,3,333,NEWFIELD AVE,,3,,800040,FFFFFF
15322,3,334,HOPE ST,,3,,697A96,FFFFFF
15323,3,335,WASHINGTON BLVD,,3,,808080,FFFFFF
15324,3,336,LONG RIDGE RD,,3,,0000A0,FFFFFF
15325,3,341,NORWALK,,3,,0080FF,FFFFFF
15326,3,342,EAST MAIN ST,,3,,808000,FFFFFF
15327,3,344,GLENBROOK RD,,3,,FF00FF,FFFFFF
15328,3,345,NCC FLYER,,3,,066A5E,FFFFFF
15329,3,349,SPRINGDALE/COVE,,3,,A05A9B,FFFFFF
15330,3,351,STAMFORD CONNECTOR: DOWNTOWN LOOP,,3,,000000,FFFFFF
15331,3,355,UCONN STAMFORD,,3,,008080,FFFFFF
