route_id,direction_id,stop_1,stop_2,distance_m,llm_explanation
14876,1,Long Hill Rd @ opp Sunny Dale Ln,Tremper Dr @ Wharton Brook Dr,117.57,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14877,0,Washington St @ Parker St,Parker St @ N Cherry St,78.52,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14877,1,Quinnipiac St @ S Colony Rd,Center St @ S Colony St,63.56,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14878,1,Farmington Ave @ Roseland Ave,Roseland Ave @ Columbia Blvd,107.19,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14879,0,N Main St @ Hill St,Hill St @ opp Crown St,123.05,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14879,0,Moran St @ Collins St,Leftingwell Ave @ Cooke St,92.17,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14879,1,Cooke St @ Herkimer St,Moran St @ Cooke St,116.3,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14879,1,Grove St @ Central Ave,Holmes Ave @ Grove St,107.47,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14880,0,East Main St @ N Main St,N Main St @ W Main St,88.55,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14880,0,Huntingdon Ave @ Thomaston Ave,Thomaston Ave @ Homer St,70.43,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14880,0,Huntingdon Ave @ Chase River Rd,Chase River Rd @ Huntingdon Ave,67.93,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14880,0,Huntingdon Ave @ Colonial Ave,Colonial Ave @ Huntingdon Ave,89.67,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14880,0,Colonial Ave @ Brookside Rd,Colonial Ave @ Lester Dr,124.2,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14880,0,Colonial Ave @ Berkshine Dr,Colonial Ave @ Lester Dr,120.64,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14880,0,Colonial Ave @ Lester Dr,Colonial Ave @ Lester Dr,32.38,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14880,1,Cooke St @ Bonair Ave,Cooke St @ White St,104.29,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14880,1,Cooke St @ Herkimer St,Moran St @ Cooke St,116.3,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14880,1,Cooke St @ Leffingwell Ave,Moran St @ Cooke St,40.1,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14880,1,Cooke St @ Grove St,Grove St @ Cooke St,22.0,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14880,1,Grove St @ Central Ave,Holmes Ave @ Grove St,107.47,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14881,0,S Main St @ E Main St,N Main St @ W Main St,116.23,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14881,0,N Main St @ opp Fern Hill Ave,N Main St @ Holiday Hill,79.32,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14881,0,Bucks Hill Rd @ N Main St,N Main St @ Haven Health Ctr,88.03,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14881,0,N Main St @ opp Haven Health Ctr,N Main St @ Haven Health Ctr,56.13,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14881,0,Montoe Rd @ N Main St,N Main St @ Lisa Ct,50.47,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14881,1,N Main St @ Haven Health Ctr,Bucks Hill Rd @ N Main St,110.11,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14881,1,N Main St @ opp Lakewood Rd,N Main St @ opp Truman Apartments,122.22,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14881,1,Kearney Dr @ opp Gary Ave,Kearney Dr @ Gary Ave,18.01,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14883,0,Waterbury Green @ North Main,N Main St @ W Main St,79.84,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14883,0,E Farm St @ Orange St,E Farm St @ St Paul St,119.24,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14883,0,Walnut St @ opp N Walnut St,Long Hill Rd @ Oak St,100.74,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14883,0,Walnut St @ opp N Walnut St,Long Hill Rd @ Oak St,78.53,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14883,0,Long Hill Rd @ Oak St,Long Hill Rd @ Beech St,112.11,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14883,0,Long Hill Rd @ Oak St,Long Hill Rd @ opp Beech St,85.54,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14883,0,Long Hill Rd @ Oak St,Long Hill Rd @ Oak St,22.21,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14883,0,Long Hill Rd @ Beech St,Long Hill Rd @ Birch St,122.98,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14883,0,Long Hill Rd @ Beech St,Birch St @ Long Hill Rd,122.56,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14883,0,Long Hill Rd @ Beech St,Long Hill Rd @ opp Beech St,41.18,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14883,0,Long Hill Rd @ Birch St,Long Hill Rd @ Sumac St,122.08,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14883,0,Long Hill Rd @ Birch St,Birch St @ Long Hill Rd,36.92,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14883,0,Long Hill Rd @ Sumac St,Birch St @ Long Hill Rd,124.87,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14883,0,Long Hill Rd @ Warner St,Berkeley Ave @ Long Hill Rd,51.62,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14883,0,Long Hill Rd @ Warner St,Warner St @ Long Hill Rd,30.75,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14883,0,Long Hill Rd @ Warner St,Warner St @ Long Hill Rd,41.19,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14883,0,Berkeley Ave @ Long Hill Rd,Warner St @ Long Hill Rd,74.74,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14883,0,Berkeley Ave @ Long Hill Rd,Warner St @ Long Hill Rd,90.2,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14883,0,Warner St @ Long Hill Rd,Warner St @ Long Hill Rd,18.17,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14883,0,Warner St @ opp Hope St,Warner St @ Garden Cir,116.9,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14883,0,Warner St @ Garden Cir,Warner St @ opp Garden Cir,44.14,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14883,0,Long Hill Rd @ opp Beech St,Long Hill Rd @ Oak St,93.01,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14883,0,Wolcott St @ 840 Wolcott St,Wolcott St @ Long Hill Rd,22.41,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14883,1,Warner St @ Long Hill Rd,Berkeley Ave @ Long Hill Rd,90.2,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14883,1,Long Hill Rd @ opp Beech St,Long Hill Rd @ Oak St,93.01,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14883,1,Long Hill Rd @ Oak St,Walnut St @ N Walnut St,71.48,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14883,1,N Main St @ W Main St,Waterbury Green @ North Main,77.01,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14884,0,E Main St @ Waterbury Police Dept,Cherry St @ Maple Ave,102.33,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14884,0,Cherry St @ Maple Ave,Walnut St @ Cherry St,93.58,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14884,0,Walnut St @ Webb St,Rose St @ Walnut St,46.19,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14884,0,Oak St @ opp Brighton St,Wall St @ Oak St,101.52,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14884,0,Wall St @ Oak St,Oak St @ 228 Oak St,106.79,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14884,0,Holohan Ave @ Oak St,Oak St @ 228 Oak St,90.23,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14884,0,Long Hill Rd @ Beech St,Long Hill Rd @ Birch St,122.98,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14884,0,Long Hill Rd @ Birch St,Long Hill Rd @ Sumac St,122.08,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14884,0,Warner St @ Long Hill Rd,Warner St @ Long Hill Rd,18.17,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14884,0,Warner St @ Long Hill Rd,Long Hill Rd @ Warner St,30.75,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14884,0,Warner St @ Long Hill Rd,Berkeley Ave @ Long Hill Rd,74.74,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14884,0,Warner St @ opp Hope St,Warner St @ Garden Cir,116.9,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14884,0,Warner St @ opp Hope St,Warner St @ Hope St,47.55,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14884,0,Warner St @ Garden Cir,Warner St @ opp Garden Cir,44.14,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14884,0,Warner St @ Garden Cir,Warner St @ Hope St,75.12,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14884,0,Warner St @ opp Garden Cir,Warner St @ Hope St,112.93,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14884,0,Warner St @ Long Hill Rd,Long Hill Rd @ Warner St,41.19,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14884,0,Warner St @ Long Hill Rd,Berkeley Ave @ Long Hill Rd,90.2,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14884,0,Long Hill Rd @ Warner St,Berkeley Ave @ Long Hill Rd,51.62,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14884,1,Oak St @ Long Hill Rd,Walnut St @ N Walnut St,85.78,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
